Date,shape_temp_1,shape_temp_2,shape_temp_3,shape_temp_4,shape_temp_5,shape_temp_6,shape_temp_7,shape_temp_8,shape_temp_9,shape_temp_10,shape_temp_11,shape_temp_12,shape_temp_14,shape_temp_16,shape_temp_17,shape_temp_18,shape_temp_19,shape_temp_20,shape_temp_21,shape_temp_22,shape_temp_23,shape_temp_24,shape_temp_25,shape_temp_26,shape_temp_27,shape_temp_28,shape_temp_29,shape_temp_30,shape_temp_31,shape_temp_32,shape_temp_33,shape_temp_34,shape_temp_35,shape_temp_36,shape_temp_37,shape_temp_38,shape_temp_39,shape_temp_40,shape_temp_41,shape_temp_42,shape_temp_43,shape_temp_44,shape_temp_45,shape_temp_46,shape_temp_47,shape_temp_48,shape_temp_49,shape_temp_50,shape_temp_51
2026-01-01 03:20:00,18.6,18.164363,18.164977,18.297633,19.630641,15.572405,13.8,15.640579,10.31621,12.008685,25.0,16.281748,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.03125,25.0,25.0,25.0,25.0,25.0,20.072161,20.266221,21.69,25.0,21.799999,21.487233,21.668495,25.0,17.95398,20.303871,17.397242,20.6,21.814898,18.130807,20.15,19.173787,16.584032,24.919138
2026-01-01 03:30:00,18.6,18.167237,18.16217,18.395265,19.56128,15.794194,13.8,15.467198,10.623731,11.945279,25.0,16.093958,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.008334,25.0,25.0,25.0,25.0,25.0,20.037568,20.0,21.708,25.0,21.799999,21.882978,21.799999,25.0,18.011652,20.434661,17.333102,20.6,21.936216,18.057154,20.299999,19.016048,16.5,24.797752
2026-01-01 03:40:00,18.682429,18.110176,18.113562,18.200001,19.592574,16.11486,14.298544,15.398357,10.322686,11.311672,25.0,16.654047,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.9625,25.0,25.0,25.0,25.0,25.0,20.090971,19.511263,21.744,25.0,21.799999,22.674467,21.588663,25.0,18.455587,20.665942,17.157714,20.6,22.0,18.402558,19.892517,19.453123,16.547195,24.815238
2026-01-01 03:50:00,18.685964,18.105512,18.109707,18.14183,19.546287,15.855846,14.847664,15.414961,10.188434,11.133197,25.0,16.302295,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.939584,25.0,25.0,25.0,25.0,25.0,20.11754,19.027923,21.762,25.0,21.799999,23.070212,21.414918,25.0,18.450911,20.702301,17.181923,20.6,22.023266,18.22208,19.695416,19.341741,16.674394,24.795948
2026-01-01 04:00:00,18.689434,18.101677,18.106146,18.084402,19.5,15.596832,15.163376,15.459638,10.131242,11.0,25.0,15.950543,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.916667,25.0,25.0,25.0,25.0,25.0,20.129241,18.760094,21.78,25.0,21.799999,23.465957,21.32458,25.0,18.434881,20.741474,17.247428,20.6,22.032626,18.0,19.609361,19.102682,16.783079,24.776658
2026-01-01 04:10:00,18.750265,18.086434,18.0813,17.9,19.5,15.658001,15.051675,15.627704,10.327385,10.8,25.0,16.120022,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.870834,25.0,25.0,25.0,25.0,25.0,20.097483,18.991889,21.816,25.0,21.799999,24.257446,21.60071,25.0,17.93416,21.151347,17.5,20.515069,21.549471,17.943371,19.657382,18.700001,16.799999,24.810381
2026-01-01 04:20:00,18.761803,18.018423,18.009413,17.854224,19.5,15.796738,14.988051,15.539109,10.137539,10.606452,25.0,16.427789,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.847917,25.0,25.0,25.0,25.0,25.0,20.09574,19.100852,21.834,25.0,21.799999,24.653191,21.523543,25.0,17.895199,21.201582,17.5,20.622465,21.3537,17.787879,19.613525,18.539177,16.629275,24.55519
2026-01-01 04:30:00,18.765805,17.961885,17.954549,17.813172,19.5,15.896443,14.9,15.447219,9.947693,10.5,25.0,16.635598,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.825,25.0,25.0,25.0,25.0,25.0,20.095218,19.148012,21.852,25.0,21.799999,25.048936,21.327744,25.0,17.883193,21.256606,17.5,20.771065,21.272599,17.670645,19.569668,18.403435,16.343544,24.299999
2026-01-01 04:40:00,18.6,18.035993,18.038912,17.700001,19.638953,14.597039,14.446097,15.443437,10.356781,10.5,25.0,16.452202,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.779167,25.0,25.0,25.0,25.0,25.0,20.14233,18.489392,21.888,25.0,21.799999,25.840425,20.748038,25.0,17.934734,22.336501,17.896389,20.835199,21.416623,17.799999,19.799999,18.190661,16.11208,24.341837
2026-01-01 04:50:00,18.7,18.155271,18.160075,17.700001,19.587044,14.228753,14.497533,15.508157,10.291807,10.381276,25.0,16.129767,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.75625,25.0,25.0,25.0,25.0,25.0,20.04235,18.164672,21.906,25.0,21.799999,26.23617,20.61067,25.0,17.936353,22.483657,17.848395,20.921029,21.712439,17.875008,19.981127,18.505726,16.05369,24.170919
