Date,shape_irrad_1,shape_irrad_2,shape_irrad_3,shape_irrad_4,shape_irrad_5,shape_irrad_6,shape_irrad_7,shape_irrad_8,shape_irrad_9,shape_irrad_10,shape_irrad_11,shape_irrad_12,shape_irrad_14,shape_irrad_16,shape_irrad_17,shape_irrad_18,shape_irrad_19,shape_irrad_20,shape_irrad_21,shape_irrad_22,shape_irrad_23,shape_irrad_24,shape_irrad_25,shape_irrad_26,shape_irrad_27,shape_irrad_28,shape_irrad_29,shape_irrad_30,shape_irrad_31,shape_irrad_32,shape_irrad_33,shape_irrad_34,shape_irrad_35,shape_irrad_36,shape_irrad_37,shape_irrad_38,shape_irrad_39,shape_irrad_40,shape_irrad_41,shape_irrad_42,shape_irrad_43,shape_irrad_44,shape_irrad_45,shape_irrad_46,shape_irrad_47,shape_irrad_48,shape_irrad_49,shape_irrad_50,shape_irrad_51
2026-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001513,0.0,0.005008,0.000767,0.001299,0.001592,0.0,0.001592,0.001034,0.00214,0.001166,0.001017,0.00081,0.001004,0.08963,0.002039,0.001622,0.001491,0.0,0.0,0.0,0.012923,0.0,0.0,0.04514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005245,0.00115,0.001549,0.002013,0.0,0.002013,0.001358,0.002761,0.00135,0.001525,0.001215,0.001506,0.10069,0.002458,0.002432,0.002237,0.0,0.0,0.0,0.01723,0.0,0.0,0.067711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000974,0.0,0.0,0.0,0.0,0.0,0.000257,0.0,0.005364,0.001342,0.001674,0.002224,0.0,0.002224,0.00152,0.003071,0.001441,0.00178,0.001417,0.001757,0.10622,0.002668,0.002838,0.002609,0.0,0.0,0.0,0.019384,0.0,0.0,0.078996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.001194,0.0,0.0,0.0,0.0,0.0,0.000514,0.0,0.005482,0.001534,0.001798,0.002434,0.0,0.002434,0.001681,0.003381,0.001533,0.002034,0.00162,0.002008,0.11175,0.002878,0.003243,0.002982,0.0,0.0,0.0,0.021538,0.0,0.0,0.090281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005719,0.001917,0.002048,0.002855,0.0,0.002855,0.002005,0.004001,0.001716,0.002542,0.002025,0.00251,0.12281,0.003297,0.004054,0.003728,0.0,0.0,0.0,0.025846,0.0,0.0,0.112851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005838,0.002109,0.002173,0.003066,0.0,0.003066,0.002167,0.004311,0.001808,0.002797,0.002227,0.002761,0.12834,0.003507,0.00446,0.004101,0.0,0.0,0.0,0.027999,0.0,0.0,0.124136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005956,0.002301,0.002298,0.003277,0.0,0.003277,0.002328,0.004621,0.001899,0.003051,0.002429,0.003013,0.13387,0.003717,0.004865,0.004473,0.0,0.0,0.0,0.030153,0.0,0.0,0.135421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000474,0.0,0.006193,0.002684,0.002547,0.003698,0.0,0.003698,0.002652,0.005242,0.002083,0.003559,0.002834,0.003515,0.14493,0.004136,0.005676,0.005219,0.0,0.0,0.0,0.034461,0.0,0.0,0.157991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000359,0.0,0.006312,0.002876,0.002672,0.003908,0.0,0.003908,0.002814,0.005552,0.002174,0.003814,0.003037,0.003766,0.15046,0.004346,0.006081,0.005592,0.0,0.0,0.0,0.036615,0.0,0.0,0.169277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164,0.0,0.00643,0.003068,0.002797,0.004119,0.0,0.004119,0.002975,0.005862,0.002266,0.004068,0.003239,0.004017,0.15599,0.004556,0.006487,0.005964,0.0,0.0,0.0,0.038768,0.0,0.0,0.180562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
