PAC,long,lat
3871717838465548,-38.46550599960216,-3.87178870018829
3871788738465506,-38.465486999625284,-3.8717774002067813
3866724638468431,-38.46843099959091,-3.8667245997604027
3880163138459018,-38.45901799988076,-3.8801630998471524
3880163138459018,-38.45858399965181,-3.880228199971384
3859425138467827,-38.46724999998747,-3.8596212002581183
3861237738466706,-38.46684800033489,-3.8612814998413114
3862541738467079,-38.466706000081786,-3.861237700159677
3865096238469276,-38.46926400023341,-3.865096000380049
3866448638469486F,-38.46946899979446,-3.866449599669238
3866541438468901,-38.46890099968135,-3.866541399765765
3868604338467313F,-38.467313000194736,-3.868604299748597
3880163138459018,-38.45901799988076,-3.8801630998471524
3859921838470889F,-38.47088899962756,-3.859921799551387
3861129738462997,-38.46299699991158,-3.861129699675871
3861129738462997,-38.464112000068724,-3.8607395000278757
3886530538450347,-38.45023500044488,-3.8860497004332615
3885356738450073,-38.4500730001688,-3.8853566999516715
3885128538449963,-38.44996299959274,-3.8851284996804907
3885128538449963,-38.449839000169675,-3.8845565002822013
3884556538449839,-38.45051399982117,-3.884446800079729
3886745238451180,-38.45133900009472,-3.8870825996821736
3886745238451180,-38.45162299970161,-3.8876875997029288
3886745238451180,-38.45197799988472,-3.888437299741554
3886618438451785,-38.45181300036961,-3.8868667003379187
3886618438451785,-38.4521370000225,-3.8873601997133846
3886618438451785,-38.452606000066794,-3.8875863998923705
3859659338461135,-38.4611350003799,-3.8596593000366397
3859659338461135,-38.46057599978252,-3.859677799990436
3859659338461135,-38.46028399980668,-3.859648699727643
3855533238464492,-38.46436700013692,-3.8555546997895362
3855533238464492,-38.464736000066296,-3.8555642002276045
3855564238464736,-38.464762000365965,-3.8552493997399324
3855249438464762,-38.465889000177185,-3.855677700065769
3871229538465826,-38.46601100040732,-3.8708215998369155
3859491738461378,-38.46137799989475,-3.8594916996821667
3858048038464574,-38.46457399979022,-3.858048000015117
3868604338467313,-38.467313000194736,-3.868604299748597
3858081538471494,-38.47149399964832,-3.85808149976134
3858342438470833,-38.470832999743095,-3.858342400281515
3859642838470988,-38.470987999696376,-3.8596428001750382
3858070038471717,-38.47185300001587,-3.857757000085428
